product_id,link_x,title_x,tag_x,audience_men,audience_women,audience_kids,link_y,title_y,tag_y,price,colors,page,color,img
VN000DAQBA2,/en-us/p/shoes/icons/sk8-hi-5325/sk8-hi-waterproof-insulated-shoe-VN000DAQBA2,Sk8-Hi Waterproof Insulated Shoe,"Multi-Terrain, Icon, Waterproof, Insulated, Cushioning",True,False,False,/en-us/p/shoes/icons/sk8-hi-5325/sk8-hi-waterproof-insulated-shoe-VN000DAQBA2,Sk8-Hi Waterproof Insulated Shoe,"Multi-Terrain, Icon, Waterproof, Insulated, Cushioning",$145.00,10 colors,1,Black / White,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1753220794/VN000DAQBA2-HERO/Sk8Hi-Waterproof-Insulated-Shoe.png"
VN000DARBKA,/en-us/p/shoes/icons/sk8-hi-5325/sk8-hi-gore-tex-insulated-shoe-VN000DARBKA,Sk8-Hi GORE-TEX Insulated Shoe,"Multi-Terrain, Icon, Waterproof, Insulated, Cushioning",True,False,False,/en-us/p/shoes/icons/sk8-hi-5325/sk8-hi-gore-tex-insulated-shoe-VN000DARBKA,Sk8-Hi GORE-TEX Insulated Shoe,"Multi-Terrain, Icon, Waterproof, Insulated, Cushioning",$180.00,4 colors,1,Black,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1750722159/VN000DARBKA-HERO/Sk8Hi-GORETEX-Insulated-Shoe.jpg"
VN000EE3W00,/en-us/p/shoes/icons/authentic-5310/authentic-shoe-VN000EE3W00,Authentic Shoe,"Lifestyle, Original Icon, Lightweight Canvas",True,True,False,/en-us/p/shoes/icons/authentic-5310/authentic-shoe-VN000EE3W00,Authentic Shoe,"Lifestyle, Original Icon, Lightweight Canvas",$55.00,15+ colors,1,True White,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1740713845/VN000EE3W00-HERO/Authentic-Shoe.png"
VN000DAQ91K,/en-us/p/shoes/icons/sk8-hi-5325/sk8-hi-waterproof-insulated-shoe-VN000DAQ91K,Sk8-Hi Waterproof Insulated Shoe,"Multi-Terrain, Icon, Waterproof, Insulated, Cushioning",True,False,False,/en-us/p/shoes/icons/sk8-hi-5325/sk8-hi-waterproof-insulated-shoe-VN000DAQ91K,Sk8-Hi Waterproof Insulated Shoe,"Multi-Terrain, Icon, Waterproof, Insulated, Cushioning",$145.00,10 colors,1,Brown,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1750719502/VN000DAQ91K-HERO/Sk8Hi-Waterproof-Insulated-Shoe.jpg"
VN000DAQ203,/en-us/p/shoes/icons/sk8-hi-5325/sk8-hi-waterproof-insulated-shoe-VN000DAQ203,Sk8-Hi Waterproof Insulated Shoe,"Multi-Terrain, Icon, Waterproof, Insulated, Cushioning",True,False,False,/en-us/p/shoes/icons/sk8-hi-5325/sk8-hi-waterproof-insulated-shoe-VN000DAQ203,Sk8-Hi Waterproof Insulated Shoe,"Multi-Terrain, Icon, Waterproof, Insulated, Cushioning",$145.00,10 colors,1,Green / Black,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1750982253/VN000DAQ203-HERO/Sk8Hi-Waterproof-Insulated-Shoe.jpg"
VN0009QC6BT,/en-us/p/shoes/knu-skool-5840/knu-skool-suede-shoe-VN0009QC6BT,Knu Skool Shoe,"Lifestyle, Retro Chunky, Suede",True,True,False,/en-us/p/shoes/knu-skool-5840/knu-skool-suede-shoe-VN0009QC6BT,Knu Skool Shoe,"Lifestyle, Retro Chunky, Suede",$80.00,15+ colors,1,Black / White,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1755187209/VN0009QC6BT-HERO/Knu-Skool-Shoe.png"
VN000EE3BKA,/en-us/p/shoes/icons/authentic-5310/authentic-shoe-VN000EE3BKA,Authentic Shoe,"Lifestyle, Original Icon, Lightweight Canvas",True,True,False,/en-us/p/shoes/icons/authentic-5310/authentic-shoe-VN000EE3BKA,Authentic Shoe,"Lifestyle, Original Icon, Lightweight Canvas",$55.00,15+ colors,1,Black,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1753917991/VN000EE3BKA-HERO/Authentic-Shoe.png"
VN000E8950Q,/en-us/p/shoes/super-lowpro-1984/super-lowpro-shoe-VN000E8950Q,Super Lowpro Shoe,"Lifestyle, Vintage Trainer, Lightweight Cushioning",False,True,False,/en-us/p/shoes/super-lowpro-1984/super-lowpro-shoe-VN000E8950Q,Super Lowpro Shoe,"Lifestyle, Vintage Trainer, Lightweight Cushioning",$85.00,9 colors,1,Emerald Green,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1761692769/VN000E8950Q-HERO/Super-Lowpro-Shoe.png"
VN000EGAW00,/en-us/p/shoes/icons/authentic-5310/authentic-knit-shoe-VN000EGAW00,Authentic Knit Shoe,"Lifestyle, Original Icon, Lightweight Canvas",True,True,False,/en-us/p/shoes/icons/authentic-5310/authentic-knit-shoe-VN000EGAW00,Authentic Knit Shoe,"Lifestyle, Original Icon, Lightweight Canvas",$65.00,15+ colors,1,True White,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1760662451/VN000EGAW00-HERO/Authentic-Knit-Shoe.png"
VN000EACBX9,/en-us/p/shoes/icons/classic-slip-on-5315/classic-slip-on-shoe-VN000EACBX9,Classic Slip-On Shoe,"Lifestyle, Original Icon, Easy-On",True,False,False,/en-us/p/shoes/icons/classic-slip-on-5315/classic-slip-on-shoe-VN000EACBX9,Classic Slip-On Shoe,"Lifestyle, Original Icon, Easy-On",$60.00,10 colors,1,Navy Blue,"https://assets.vans.com/images/t_img/c_fill,g_center,f_auto,h_573,e_unsharp_mask:100,w_458/dpr_2.0/v1756520261/VN000EACBX9-HERO/Classic-SlipOn-Shoe.png"
